TNT Model Scaled Overpressure,
scaled_distance,scaled_overpressure
0.070373855,508.755002
0.081279755,458.2380496
0.091895042,399.0066492
0.107559796,342.8364312
0.12660964,289.5752329
0.151352144,242.8408638
0.173706691,204.3823001
0.195414117,176.0280254
0.219616307,149.4782373
0.245104133,133.1246837
0.272490728,114.1050714
0.306732696,95.82802393
0.352238335,78.69213191
0.387819247,67.42253415
0.430364926,56.71355226
0.488298167,47.59877959
0.545635799,38.25265441
0.626696114,30.44955468
0.689968463,24.34420221
0.782188756,20.1699582
0.866849618,16.51086509
1.069360076,10.79885051
0.97882883,13.56099101
1.17555363,8.828306242
1.367237716,6.55733446
1.530569081,5.129593793
1.954467322,2.827368403
1.633426678,4.270335689
1.811208257,3.414287982
2.1449212,2.317566725
2.631326756,1.458941403
2.403883761,1.811138018
3.12069059,1.030306984
2.881089046,1.209098256
3.421115263,0.87821933
3.708286802,0.73837406
4.43672701,0.511431307
4.048287975,0.607456107
4.884091002,0.430442725
5.424499041,0.36418538
6.020144321,0.307986481
6.610143831,0.257664519
7.503945501,0.21391288
9.329806026,0.159358316
8.35018573,0.183741988
10.40001244,0.132777818
11.56965134,0.113367925
12.91660185,0.097121588
14.58155255,0.083343593
16.31062122,0.07076963
18.98244507,0.060190013
21.68645431,0.049905163
24.538237,0.041768398
27.95451372,0.035734069
32.17906476,0.029930152
35.14207193,0.026573832
39.62653942,0.023649966
